yourlist:M20200824A94466D2655679D1FD8953E075198DA850B510E	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology (GO)	Gene ontology IDs	Cross-reference (KO)
PFX18988.1	A0A2B4RRM8	A0A2B4RRM8_STYPI	unreviewed	Schlafen-like protein 1	Slfnl1 AWC38_SpisGene16612	Stylophora pistillata (Smooth cauliflower coral)	250			
RXN04527.1	A0A498LFI3	A0A498LFI3_LABRO	unreviewed	NAD-dependent deacylase sirtuin-mitochondrial-like protein	ROHU_012918	Labeo rohita (Indian major carp) (Cyprinus rohita)	689	NAD+ binding [GO:0070403]	GO:0070403	
QDZ71502.1	A0A5B8PCQ1	A0A5B8PCQ1_TACFU	unreviewed	O-acyltransferase		Tachysurus fulvidraco (Yellow catfish) (Pimelodus fulvidraco)	507	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; diacylglycerol O-acyltransferase activity [GO:0004144]; triglyceride biosynthetic process [GO:0019432]	GO:0004144; GO:0005789; GO:0016021; GO:0019432	
PFX24278.1	A0A2B4S6V7	A0A2B4S6V7_STYPI	unreviewed	Phosphofurin acidic cluster sorting protein 2	PACS2 AWC38_SpisGene11156	Stylophora pistillata (Smooth cauliflower coral)	1143			
PFX23895.1	A0A2B4S5Y3	A0A2B4S5Y3_STYPI	unreviewed	Vacuolar protein sorting-associated protein 53 homolog	VPS53 AWC38_SpisGene11541	Stylophora pistillata (Smooth cauliflower coral)	1107	cytosol [GO:0005829]; GARP complex [GO:0000938]; nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]; retrograde transport, endosome to Golgi [GO:0042147]	GO:0000938; GO:0003676; GO:0005829; GO:0015074; GO:0042147	
EDO49886.1	A7RF17	A7RF17_NEMVE	unreviewed	Predicted protein	v1g78861	Nematostella vectensis (Starlet sea anemone)	604	ATP binding [GO:0005524]; cellular protein modification process [GO:0006464]	GO:0005524; GO:0006464	
RMX45489.1	A0A3M6TW42	A0A3M6TW42_9CNID	unreviewed	Histone acetyltransferase type B catalytic subunit (EC 2.3.1.48) (Fragment)	pdam_00008453	Pocillopora damicornis	406	chromosome, telomeric region [GO:0000781]; nucleus [GO:0005634]; histone acetyltransferase activity [GO:0004402]; histone binding [GO:0042393]; chromatin silencing at telomere [GO:0006348]	GO:0000781; GO:0004402; GO:0005634; GO:0006348; GO:0042393	
AIQ80464.1	A0A089PG55	A0A089PG55_NEMVE	unreviewed	ELK		Nematostella vectensis (Starlet sea anemone)	1609	integral component of membrane [GO:0016021]; voltage-gated potassium channel activity [GO:0005249]; regulation of ion transmembrane transport [GO:0034765]	GO:0005249; GO:0016021; GO:0034765	
PFX24521.1	A0A2B4S3Q1	A0A2B4S3Q1_STYPI	unreviewed	Histone H3	2 AWC38_SpisGene10874	Stylophora pistillata (Smooth cauliflower coral)	293	host cell nucleus [GO:0042025]; nucleosome [GO:0000786]; nucleus [GO:0005634]; DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]; nucleosome assembly [GO:0006334]	GO:0000786; GO:0003677; GO:0005634; GO:0006334; GO:0042025; GO:0046982	
PGH37547.1	A0A2B7ZXS2	A0A2B7ZXS2_9BACT	unreviewed	Reverse transcriptase domain-containing protein (Fragment)	CRN43_20530	Candidatus Nephrothrix sp. EaCA	902			
KAF0308948.1	A0A6A4X232	A0A6A4X232_AMPAM	unreviewed	Uncharacterized protein	FJT64_019875	Amphibalanus amphitrite (Striped barnacle) (Balanus amphitrite)	705			
GBM42521.1	A0A4Y2FMV1	A0A4Y2FMV1_ARAVE	unreviewed	Endonuclease (Reverse transcriptase)	AVEN_119426_1	Araneus ventricosus (Orbweaver spider) (Epeira ventricosa)	1160	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	
RMX48723.1	A0A3M6U4W8	A0A3M6U4W8_9CNID	unreviewed	Gamma-glutamylcyclotransferase family protein (Fragment)	pdam_00001504	Pocillopora damicornis	176	gamma-glutamylaminecyclotransferase activity [GO:0061929]	GO:0061929	
PFX17491.1	A0A2B4RIQ4	A0A2B4RIQ4_STYPI	unreviewed	Pro-interleukin-16	IL16 AWC38_SpisGene18177	Stylophora pistillata (Smooth cauliflower coral)	3578			
TID30192.1	A0A4T0X5E5	A0A4T0X5E5_9ASCO	unreviewed	Uncharacterized protein	CANINC_001199	[Candida] inconspicua	534			
PFX15861.1	A0A2B4RE03	A0A2B4RE03_STYPI	unreviewed	Laccase-16	LAC16 AWC38_SpisGene19897	Stylophora pistillata (Smooth cauliflower coral)	1038	copper ion binding [GO:0005507]; oxidoreductase activity [GO:0016491]	GO:0005507; GO:0016491	
PFX17220.1	A0A2B4RL48	A0A2B4RL48_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene18460	Stylophora pistillata (Smooth cauliflower coral)	348			
OQV22746.1	A0A1W0X5D0	A0A1W0X5D0_HYPDU	unreviewed	ADP-ribosylation factor 1	BV898_03185	Hypsibius dujardini (Water bear) (Macrobiotus dujardini)	181	GTP binding [GO:0005525]	GO:0005525	
PFX17442.1	A0A2B4RMH8	A0A2B4RMH8_STYPI	unreviewed	Splicing factor 3B subunit 2	SF3B2 AWC38_SpisGene18238	Stylophora pistillata (Smooth cauliflower coral)	881	nucleus [GO:0005634]	GO:0005634	
AEX00072.1	I6NNS1	I6NNS1_NEMVE	unreviewed	Sodium channel protein		Nematostella vectensis (Starlet sea anemone)	1722	voltage-gated sodium channel complex [GO:0001518]; voltage-gated ion channel activity [GO:0005244]; voltage-gated sodium channel activity [GO:0005248]; regulation of ion transmembrane transport [GO:0034765]	GO:0001518; GO:0005244; GO:0005248; GO:0034765	
RMX57719.1	A0A3M6UVU4	A0A3M6UVU4_9CNID	unreviewed	Uncharacterized protein	pdam_00004945	Pocillopora damicornis	552	RNA binding [GO:0003723]	GO:0003723	
GCF50913.1	A0A402F382	A0A402F382_9SAUR	unreviewed	Reverse transcriptase domain-containing protein	parPi_0012048	Paroedura picta	551			
AFY07205.1	K7ZH43	K7ZH43_NEMVE	unreviewed	NEP-16		Nematostella vectensis (Starlet sea anemone)	284	extracellular region [GO:0005576]	GO:0005576	
PFX14364.1	A0A2B4R7Q8	A0A2B4R7Q8_STYPI	unreviewed	Retrovirus-related Pol polyprotein from transposon TNT 1-94	AWC38_SpisGene21480	Stylophora pistillata (Smooth cauliflower coral)	742	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	
KOF95580.1	A0A0L8I3D5	A0A0L8I3D5_OCTBM	unreviewed	C2H2-type domain-containing protein	OCBIM_22037908mg	Octopus bimaculoides (California two-spotted octopus)	196			
PFX18145.1	A0A2B4RPF8	A0A2B4RPF8_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene17496	Stylophora pistillata (Smooth cauliflower coral)	207			
PFX18144.1	A0A2B4RIC5	A0A2B4RIC5_STYPI	unreviewed	60S ribosomal protein L23a	Rpl23a AWC38_SpisGene17495	Stylophora pistillata (Smooth cauliflower coral)	457	integral component of membrane [GO:0016021]; ribosome [GO:0005840]; G protein-coupled receptor activity [GO:0004930]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	GO:0003735; GO:0004930; GO:0005840; GO:0006412; GO:0016021	
PFX12052.1	A0A2B4R745	A0A2B4R745_STYPI	unreviewed	DBH-like monooxygenase protein 2-like (Fragment)	moxd2 AWC38_SpisGene24051	Stylophora pistillata (Smooth cauliflower coral)	616	dopamine beta-monooxygenase activity [GO:0004500]	GO:0004500	
RMX43984.1	A0A3M6TRV8	A0A3M6TRV8_9CNID	unreviewed	THAP-type domain-containing protein	pdam_00017571	Pocillopora damicornis	124	DNA binding [GO:0003677]	GO:0003677	
PIK54060.1	A0A2G8L1N4	A0A2G8L1N4_STIJA	unreviewed	Uncharacterized protein	BSL78_09041	Stichopus japonicus (Sea cucumber)	836	ubiquitin-protein transferase activity [GO:0004842]	GO:0004842	
THD26514.1	A0A4E0RKT7	A0A4E0RKT7_FASHE	unreviewed	PHD finger and CXXC domain-containing protein	D915_002377	Fasciola hepatica (Liver fluke)	471	Set1C/COMPASS complex [GO:0048188]; DNA binding [GO:0003677]; zinc ion binding [GO:0008270]	GO:0003677; GO:0008270; GO:0048188	
PFX18485.1	A0A2B4RQE4	A0A2B4RQE4_STYPI	unreviewed	Uncharacterized transposon-derived protein F54H12.3	F54H12.3 AWC38_SpisGene17147	Stylophora pistillata (Smooth cauliflower coral)	3322	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	
PFX21170.1	A0A2B4RX87	A0A2B4RX87_STYPI	unreviewed	Glycine betaine transporter OpuD	opuD AWC38_SpisGene14346	Stylophora pistillata (Smooth cauliflower coral)	705	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]; nitrogen compound transport [GO:0071705]	GO:0016021; GO:0022857; GO:0071705	
CAB3263161.1	A0A6F9DIY0	A0A6F9DIY0_9ASCI	unreviewed	Uncharacterized protein LOC104265735	LOC104265735-007	Phallusia mammillata	1921			
PFX22135.1	A0A2B4S0X0	A0A2B4S0X0_STYPI	unreviewed	Putative RNA-directed DNA polymerase from transposon X-element	AWC38_SpisGene13348	Stylophora pistillata (Smooth cauliflower coral)	305	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	
PFX13328.1	A0A2B4RAB9	A0A2B4RAB9_STYPI	unreviewed	Putative ankyrin repeat protein	AWC38_SpisGene22591	Stylophora pistillata (Smooth cauliflower coral)	1263	regulation of apoptotic process [GO:0042981]	GO:0042981	
PIK54262.1	A0A2G8L204	A0A2G8L204_STIJA	unreviewed	Ribokinase (RK) (EC 2.7.1.15)	BSL78_08835	Stichopus japonicus (Sea cucumber)	310	cytoplasm [GO:0005737]; nucleus [GO:0005634]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; ribokinase activity [GO:0004747]; D-ribose catabolic process [GO:0019303]	GO:0004747; GO:0005524; GO:0005634; GO:0005737; GO:0019303; GO:0046872	
PFX15918.1	A0A2B4RHQ3	A0A2B4RHQ3_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene19842	Stylophora pistillata (Smooth cauliflower coral)	174			
KRZ62025.1	A0A0V1LR83	A0A0V1LR83_9BILA	unreviewed	Transmembrane protein 147 (Fragment)	PLA2G15 T02_16015	Trichinella nativa	646	integral component of membrane [GO:0016021]; O-acyltransferase activity [GO:0008374]; lipid metabolic process [GO:0006629]	GO:0006629; GO:0008374; GO:0016021	
EDO32903.1	A7STR1	A7STR1_NEMVE	unreviewed	Predicted protein (Fragment)	v1g131347	Nematostella vectensis (Starlet sea anemone)	313	integral component of plasma membrane [GO:0005887]; G protein-coupled photoreceptor activity [GO:0008020]; cellular response to light stimulus [GO:0071482]; G protein-coupled receptor signaling pathway [GO:0007186]; phototransduction [GO:0007602]	GO:0005887; GO:0007186; GO:0007602; GO:0008020; GO:0071482	
EDO42462.1	A7S1I1	A7S1I1_NEMVE	unreviewed	Predicted protein	v1g184535	Nematostella vectensis (Starlet sea anemone)	694	integral component of membrane [GO:0016021]; ATP transmembrane transporter activity [GO:0005347]; calcium ion binding [GO:0005509]; L-aspartate transmembrane transporter activity [GO:0015183]; L-glutamate transmembrane transporter activity [GO:0005313]; aspartate transmembrane transport [GO:0015810]; L-glutamate transmembrane transport [GO:0015813]; malate-aspartate shuttle [GO:0043490]	GO:0005313; GO:0005347; GO:0005509; GO:0015183; GO:0015810; GO:0015813; GO:0016021; GO:0043490	
EDO43830.1	A7RXE2	A7RXE2_NEMVE	unreviewed	Predicted protein	v1g241346	Nematostella vectensis (Starlet sea anemone)	759	plasma membrane [GO:0005886]; protein localization to plasma membrane [GO:0072659]	GO:0005886; GO:0072659	
RMX53293.1	A0A3M6UHY7	A0A3M6UHY7_9CNID	unreviewed	Uncharacterized protein	pdam_00015259	Pocillopora damicornis	760	guanyl-nucleotide exchange factor activity [GO:0005085]; metal ion binding [GO:0046872]	GO:0005085; GO:0046872	
RMX55078.1	A0A3M6UNZ8	A0A3M6UNZ8_9CNID	unreviewed	Uncharacterized protein (Fragment)	pdam_00023215	Pocillopora damicornis	223			
RMX61187.1	A0A3M6V5M4	A0A3M6V5M4_9CNID	unreviewed	Uncharacterized protein (Fragment)	pdam_00005626	Pocillopora damicornis	355	integral component of membrane [GO:0016021]	GO:0016021	
BAG55918.1	B3XXQ5	B3XXQ5_ACRTE	unreviewed	Putative sulfate transporter of the SLC26A11 family	AtSym-01	Acropora tenuis (Purple tipped acropora)	600	integral component of membrane [GO:0016021]; secondary active sulfate transmembrane transporter activity [GO:0008271]	GO:0008271; GO:0016021	
KAF2681976.1	A0A6G1IUQ0	A0A6G1IUQ0_9PLEO	unreviewed	Uncharacterized protein	K458DRAFT_371268	Lentithecium fluviatile CBS 122367	213			
AHI17294.1	W5XLK4	W5XLK4_MYTGA	unreviewed	Lipopolysaccharide-induced TNF factor 4		Mytilus galloprovincialis (Mediterranean mussel)	124	integral component of membrane [GO:0016021]	GO:0016021	
RMX44211.1	A0A3M6TS93	A0A3M6TS93_9CNID	unreviewed	ABC transporter domain-containing protein	pdam_00005304	Pocillopora damicornis	1441	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]	GO:0005524; GO:0016021; GO:0016887	
RMX58928.1	A0A3M6V055	A0A3M6V055_9CNID	unreviewed	Uncharacterized protein	pdam_00018847	Pocillopora damicornis	1274	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; ATPase-coupled xenobiotic transmembrane transporter activity [GO:0008559]; xenobiotic transport [GO:0042908]	GO:0005524; GO:0008559; GO:0016021; GO:0016887; GO:0042908	
PFX27519.1	A0A2B4SEJ9	A0A2B4SEJ9_STYPI	unreviewed	Putative RNA-directed DNA polymerase from transposon X-element	AWC38_SpisGene7786	Stylophora pistillata (Smooth cauliflower coral)	575	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	
VDP45110.1	A0A183N3N1	A0A183N3N1_9TREM	unreviewed	Uncharacterized protein	SMRZ_LOCUS22906	Schistosoma margrebowiei	282			
PFX21816.1	A0A2B4RXC8	A0A2B4RXC8_STYPI	unreviewed	Pol polyprotein	pol AWC38_SpisGene13661	Stylophora pistillata (Smooth cauliflower coral)	763	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	
PFX25939.1	A0A2B4SA04	A0A2B4SA04_STYPI	unreviewed	Uncharacterized transposon-derived protein F54H12.3	F54H12.3 AWC38_SpisGene9400	Stylophora pistillata (Smooth cauliflower coral)	1764	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	
RMX52053.1	A0A3M6UED3	A0A3M6UED3_9CNID	unreviewed	Uncharacterized protein	pdam_00003728	Pocillopora damicornis	815			
GCF57847.1	A0A402FN20	A0A402FN20_9SAUR	unreviewed	Aminotran_1_2 domain-containing protein	parPi_0020717	Paroedura picta	502	catalytic activity [GO:0003824]; pyridoxal phosphate binding [GO:0030170]; biosynthetic process [GO:0009058]	GO:0003824; GO:0009058; GO:0030170	
RXG59373.1	A0A444T175	A0A444T175_ARMVU	unreviewed	Uncharacterized protein	Avbf_09288	Armadillidium vulgare (Pillbug) (Pill woodlouse)	309			
KRZ52308.1	A0A0V1KYC9	A0A0V1KYC9_9BILA	unreviewed	Retrovirus-related Pol polyprotein from transposon 17.6	pol T02_4930	Trichinella nativa	1122	aspartic-type endopeptidase activity [GO:0004190]; nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]; DNA integration [GO:0015074]	GO:0003676; GO:0004190; GO:0008270; GO:0015074	
PFX15773.1	A0A2B4RG09	A0A2B4RG09_STYPI	unreviewed	U4/U6.U5 tri-snRNP-associated protein 2	USP39 AWC38_SpisGene19997	Stylophora pistillata (Smooth cauliflower coral)	2204	thiol-dependent ubiquitinyl hydrolase activity [GO:0036459]; zinc ion binding [GO:0008270]; protein deubiquitination [GO:0016579]; spliceosomal complex assembly [GO:0000245]	GO:0000245; GO:0008270; GO:0016579; GO:0036459	
PFX14658.1	A0A2B4RE48	A0A2B4RE48_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene21172	Stylophora pistillata (Smooth cauliflower coral)	1133			
RUS86856.1	A0A433TZ51	A0A433TZ51_ELYCH	unreviewed	Tubulin beta chain	EGW08_005393	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	445	cytoplasm [GO:0005737]; microtubule [GO:0005874]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; structural constituent of cytoskeleton [GO:0005200]; microtubule-based process [GO:0007017]	GO:0003924; GO:0005200; GO:0005525; GO:0005737; GO:0005874; GO:0007017	
ELK16173.1	L5KZE1	L5KZE1_PTEAL	unreviewed	Hemicentin-1	PAL_GLEAN10017652	Pteropus alecto (Black flying fox)	5482	calcium ion binding [GO:0005509]	GO:0005509	
RMX40754.1	A0A3M6THM3	A0A3M6THM3_9CNID	unreviewed	MADF domain-containing protein	pdam_00024305	Pocillopora damicornis	167			
PON55583.1	A0A2P5C3D6	A0A2P5C3D6_TREOI	unreviewed	Tubulin--tyrosine ligase-like protein	TorRG33x02_298760	Trema orientale (Charcoal tree) (Celtis orientalis)	866	ATP binding [GO:0005524]; ligase activity [GO:0016874]; cellular protein modification process [GO:0006464]	GO:0005524; GO:0006464; GO:0016874	
KZS06357.1	A0A164NYN9	A0A164NYN9_9CRUS	unreviewed	Reverse transcriptase domain-containing protein	APZ42_030220	Daphnia magna	484			
PFX22522.1	A0A2B4S1Z7	A0A2B4S1Z7_STYPI	unreviewed	Reverse transcriptase domain-containing protein	AWC38_SpisGene12963	Stylophora pistillata (Smooth cauliflower coral)	600			
EDO31776.1	A7SWY9	A7SWY9_NEMVE	unreviewed	Predicted protein	v1g194368	Nematostella vectensis (Starlet sea anemone)	509	integral component of membrane [GO:0016021]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]; oxidation-reduction process [GO:0055114]	GO:0004497; GO:0005506; GO:0016021; GO:0016705; GO:0020037; GO:0055114	
PFX34307.1	A0A2B4T0W7	A0A2B4T0W7_STYPI	unreviewed	Putative RNA-directed DNA polymerase from transposon X-element	AWC38_SpisGene790	Stylophora pistillata (Smooth cauliflower coral)	579	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	
KYN08492.1	A0A195D6I5	A0A195D6I5_9HYME	unreviewed	Zinc finger protein 99 (Fragment)	ALC62_00476	Cyphomyrmex costatus	421			
EJK74637.1	K0TPP1	K0TPP1_THAOC	unreviewed	Uncharacterized protein (Fragment)	THAOC_03671	Thalassiosira oceanica (Marine diatom)	326			
ETO06292.1	X6LYQ5	X6LYQ5_RETFI	unreviewed	Uncharacterized protein (Fragment)	RFI_31107	Reticulomyxa filosa	660			
EDO49824.1	A7RG24	A7RG24_NEMVE	unreviewed	Predicted protein (Fragment)	v1g34851	Nematostella vectensis (Starlet sea anemone)	225	ADP-ribose diphosphatase activity [GO:0047631]; NAD binding [GO:0051287]; NADH pyrophosphatase activity [GO:0035529]; signal transduction [GO:0007165]	GO:0007165; GO:0035529; GO:0047631; GO:0051287	
EDO49290.1	A7RH46	A7RH46_NEMVE	unreviewed	Predicted protein	v1g197064	Nematostella vectensis (Starlet sea anemone)	431	metal ion binding [GO:0046872]	GO:0046872	
VZI49882.1	A0A654I5B9	A0A654I5B9_9CEST	unreviewed	Uncharacterized protein	SPRV2_LOCUS21527	Sparganum proliferum	490			
AUN27681.1	A0A455I4H0	A0A455I4H0_9ANNE	unreviewed	Kinesin-like protein	kif3a	Phascolosoma esculenta	689	microtubule [GO:0005874]; ATP binding [GO:0005524]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777]; microtubule-based movement [GO:0007018]	GO:0003777; GO:0005524; GO:0005874; GO:0007018; GO:0008017	
PFX31913.1	A0A2B4SS36	A0A2B4SS36_STYPI	unreviewed	Serine/arginine-rich splicing factor 4	Srsf4 AWC38_SpisGene3216	Stylophora pistillata (Smooth cauliflower coral)	250	RNA binding [GO:0003723]	GO:0003723	
KOF80516.1	A0A0L8GTX1	A0A0L8GTX1_OCTBM	unreviewed	Uncharacterized protein	OCBIM_22027770mg	Octopus bimaculoides (California two-spotted octopus)	312			
PFX18899.1	A0A2B4RQ21	A0A2B4RQ21_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene16698	Stylophora pistillata (Smooth cauliflower coral)	292			
PFX13375.1	A0A2B4RAR3	A0A2B4RAR3_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene22544	Stylophora pistillata (Smooth cauliflower coral)	353			
TMS38350.1	A0A4U8UXV1	A0A4U8UXV1_STECR	unreviewed	One cut domain family member	L596_005095	Steinernema carpocapsae (Entomopathogenic nematode)	449	nucleus [GO:0005634]; DNA binding [GO:0003677]	GO:0003677; GO:0005634	
PFX34201.1	A0A2B4SWC7	A0A2B4SWC7_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene901	Stylophora pistillata (Smooth cauliflower coral)	157			
RMX54521.1	A0A3M6ULI5	A0A3M6ULI5_9CNID	unreviewed	Uncharacterized protein (Fragment)	pdam_00004573	Pocillopora damicornis	128			
RMX60610.1	A0A3M6V429	A0A3M6V429_9CNID	unreviewed	J domain-containing protein	pdam_00013738	Pocillopora damicornis	128	integral component of membrane [GO:0016021]	GO:0016021	
EDO30801.1	A7SZR5	A7SZR5_NEMVE	unreviewed	Predicted protein	v1g139409	Nematostella vectensis (Starlet sea anemone)	101	mitochondrial outer membrane [GO:0005741]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; extrinsic apoptotic signaling pathway in absence of ligand [GO:0097192]; intrinsic apoptotic signaling pathway in response to DNA damage [GO:0008630]; regulation of apoptotic process [GO:0042981]	GO:0005741; GO:0008630; GO:0042803; GO:0042981; GO:0046982; GO:0097192	
PFX29470.1	A0A2B4SKS4	A0A2B4SKS4_STYPI	unreviewed	Polynucleotide 5'-hydroxyl-kinase NOL9	NOL9 AWC38_SpisGene5798	Stylophora pistillata (Smooth cauliflower coral)	474	calcium ion binding [GO:0005509]; kinase activity [GO:0016301]	GO:0005509; GO:0016301	
ORY04185.1	A0A1Y1Z2W7	A0A1Y1Z2W7_9FUNG	unreviewed	SURF6-domain-containing protein	K493DRAFT_334024	Basidiobolus meristosporus CBS 931.73	367			
RLS56296.1	A0A3L7QGF4	A0A3L7QGF4_9BACT	unreviewed	SGNH_hydro domain-containing protein	DWH95_10350	Planctomycetes bacterium	371			
PFX30423.1	A0A2B4SMZ2	A0A2B4SMZ2_STYPI	unreviewed	ATP-dependent zinc metalloprotease YME1L1	YME1L1 AWC38_SpisGene4755	Stylophora pistillata (Smooth cauliflower coral)	740	membrane [GO:0016020]; ATP binding [GO:0005524]; metalloendopeptidase activity [GO:0004222]	GO:0004222; GO:0005524; GO:0016020	
EHH26750.1	G7MTW7	G7MTW7_MACMU	unreviewed	Uncharacterized protein (Fragment)	EGK_16810	Macaca mulatta (Rhesus macaque)	1090	integral component of membrane [GO:0016021]; cation:chloride symporter activity [GO:0015377]	GO:0015377; GO:0016021	
RMX50368.1	A0A3M6UA54	A0A3M6UA54_9CNID	unreviewed	Uncharacterized protein	pdam_00021814	Pocillopora damicornis	239			
